cohort	outcome	feature	family	sources	raw_spearman	within_base_spearman	within_base_task_spearman	within_base_task_pearson	permutation_p	exact_seed_permutations	fdr_q
source18	target	base_bilateral_overlap_k4	source	18	-0.10858330521658059	-0.67227484179974	0.09100315103865801	0.2990166784592995	0.8168724279835391	46656	0.9319319319319319
source18	off_score	base_bilateral_overlap_k4	source	18	0.43985550518348293	0.0041753744434930825	0.04256282653793743	-0.16104275518243746	0.9622770919067215	46656	1.0
source18	forgetting_gap	base_bilateral_overlap_k4	source	18	0.10378940392671432	0.378954926600225	0.13987572123604705	0.17275586193127024	0.7227366255144033	46656	0.9550490661601773
source18	hns_target_gain	base_bilateral_overlap_k4	source	18	0.22273904783220327	-0.1991618632395916	-0.06668313367115805	-0.29722705890895035	0.872599451303155	46656	0.9511442336645588
source18	hns_off_gain	base_bilateral_overlap_k4	source	18	0.25503359103361567	0.27975008771403653	0.04256282653793743	0.16611184069583015	0.9622770919067215	46656	1.0
source18	hns_forgetting_reduction	base_bilateral_overlap_k4	source	18	0.13388833106546147	0.3326382133490864	0.4196271637081411	0.21268680711010038	0.18878600823045266	46656	0.7413194444444444
source18	target	base_left_overlap_k32	source	18	0.2832044747366684	-0.09643796604010363	-0.1336306209562122	-0.0466649634847653	0.6944444444444444	46656	0.9319319319319319
source18	off_score	base_left_overlap_k32	source	18	0.8782249742002063	0.6083333333333333	0.08333333333333334	-0.19561564396629047	0.8846879286694102	46656	0.977812973792506
source18	forgetting_gap	base_left_overlap_k32	source	18	-0.6182655777832896	-0.6722926454528143	0.0	0.30209757454903846	1.0	46656	1.0
source18	hns_target_gain	base_left_overlap_k32	source	18	0.6704549032122347	0.4184137043778615	-0.3046358979224712	-0.2071741616791738	0.3293895747599451	46656	0.9511442336645588
source18	hns_off_gain	base_left_overlap_k32	source	18	-0.5087719298245613	-0.775	-0.25000000000000006	0.28326876878248575	0.4834533607681756	46656	0.7251800411522634
source18	hns_forgetting_reduction	base_left_overlap_k32	source	18	-0.5663976601840204	-0.6722926454528143	-0.27386127875258304	0.23256530394845398	0.4367283950617284	46656	0.8337542087542087
source18	target	base_right_overlap_k32	source	18	-0.5323003813481175	-0.6624868971450597	0.1781741612749496	-0.3321769475451084	0.6111111111111112	46656	0.9319319319319319
source18	off_score	base_right_overlap_k32	source	18	-0.10629514963880288	0.008333333333333333	0.08333333333333334	0.06805948717505222	0.8846879286694102	46656	0.977812973792506
source18	forgetting_gap	base_right_overlap_k32	source	18	0.41183126573819795	0.3529536388627275	0.09128709291752768	-0.11201185803236982	0.8868312757201646	46656	0.9550490661601773
source18	hns_target_gain	base_right_overlap_k32	source	18	-0.27066130145085593	-0.18410202992625907	0.08703882797784893	0.07613443174302208	0.8297325102880658	46656	0.9511442336645588
source18	hns_off_gain	base_right_overlap_k32	source	18	0.457172342621259	0.26666666666666666	-0.08333333333333334	-0.2528132582154429	0.8846879286694102	46656	1.0
source18	hns_forgetting_reduction	base_right_overlap_k32	source	18	0.39730824881040255	0.30253169045376643	0.3651483716701107	0.08772841674940615	0.2824074074074074	46656	0.7413194444444444
source18	target	base_bilateral_overlap_k32	source	18	-0.09720791133674833	-0.6596696885159948	0.22750787759664504	0.1160572023849732	0.4693072702331962	46656	0.9319319319319319
source18	off_score	base_bilateral_overlap_k32	source	18	0.4759938682854123	0.008350748886986165	0.08512565307587486	-0.01775556168069136	0.8122427983539094	46656	0.977812973792506
source18	forgetting_gap	base_bilateral_overlap_k32	source	18	0.06486837745419645	0.3452700442357606	0.0	0.025850578055655264	1.0	46656	1.0
source18	hns_target_gain	base_bilateral_overlap_k32	source	18	0.2873385396628887	-0.13836508393487415	0.3111879571320709	-0.21478911259522337	0.33573388203017834	46656	0.9511442336645588
source18	hns_off_gain	base_bilateral_overlap_k32	source	18	0.22405785123196195	0.250522466609585	-0.2553769592276246	-0.06097213636491938	0.41358024691358025	46656	0.7251800411522634
source18	hns_forgetting_reduction	base_bilateral_overlap_k32	source	18	0.0949673045929436	0.29474272068906393	0.2797514424720941	0.1133779468201679	0.37602880658436216	46656	0.8337542087542087
source18	target	alpha_hill	source	18	-0.5116285218782878	-0.20126184217065105	0.0890870806374748	0.32061732585463376	0.8209876543209876	46656	0.9319319319319319
source18	off_score	alpha_hill	source	18	-0.5128998968008255	0.6416666666666667	-0.5000000000000001	-0.24041856080095123	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	alpha_hill	source	18	0.05083055924728388	-0.5126231421577709	0.3651483716701107	0.18787252175851077	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	alpha_hill	source	18	-0.5867771726110159	0.004184137043778615	-0.04351941398892446	0.16955503097428093	0.9284979423868313	46656	0.9511442336645588
source18	hns_off_gain	alpha_hill	source	18	-0.12693498452012383	-0.5083333333333333	0.5833333333333334	0.36697059169389923	0.05757030178326475	46656	0.6002121913580247
source18	hns_forgetting_reduction	alpha_hill	source	18	-0.09439961003067006	-0.6806963035209745	0.09128709291752768	-0.009102711284709939	0.8868312757201646	46656	0.9550490661601773
