cohort	group	feature	outcome	n_checkpoints	n_defined	mean_rho	ci_low	ci_high	positive	zero	negative
A_all_versions	base/Qwen3-8B	full_moment_pr	gain_magicoder	9	9	0.006271677765340026	-0.35543737604913506	0.4595948592754603	3	0	6
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	gain_magicoder	9	9	-0.4472346102622892	-0.7055425226908428	-0.15676091599652953	2	0	7
A_all_versions	task/magicoder	full_moment_pr	gain_magicoder	6	6	-0.28654958599186764	-0.552478788521153	-0.040704919086174636	1	0	5
A_all_versions	task/metamath	full_moment_pr	gain_magicoder	6	6	0.26166461123112844	-0.28221499865997707	0.7964533120313249	4	0	2
A_all_versions	task/tulu	full_moment_pr	gain_magicoder	6	6	-0.6365594239846845	-0.7562739916863516	-0.4641282755734839	0	0	6
A_all_versions	base/Qwen3-8B	full_moment_pr	gain_metamath	9	9	0.06560675944413918	-0.1603289347361632	0.30953764847765475	5	0	4
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	gain_metamath	9	9	0.30801280148087806	-0.08080717282914902	0.684812575811146	5	0	4
A_all_versions	task/magicoder	full_moment_pr	gain_metamath	6	6	-0.17004346056212105	-0.3123249870677938	0.05230957004614791	1	0	5
A_all_versions	task/metamath	full_moment_pr	gain_metamath	6	6	0.698980757987279	0.5078135358223043	0.878026768031042	6	0	0
A_all_versions	task/tulu	full_moment_pr	gain_metamath	6	6	0.03149204396236782	-0.2700366354168072	0.41540964640739914	3	0	3
A_all_versions	base/Qwen3-8B	full_moment_pr	gain_tulu	9	9	0.46359234147358386	0.25582591061169535	0.6598182588499625	8	0	1
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	gain_tulu	9	9	0.5502481311516372	0.36460314589056453	0.7114155000252175	9	0	0
A_all_versions	task/magicoder	full_moment_pr	gain_tulu	6	6	0.36185528664746996	0.07371154236748419	0.6631810377260035	5	0	1
A_all_versions	task/metamath	full_moment_pr	gain_tulu	6	6	0.6403955259724196	0.4555794788133712	0.7823551100001992	6	0	0
A_all_versions	task/tulu	full_moment_pr	gain_tulu	6	6	0.5185098963179421	0.36515151515151517	0.6557295833397881	6	0	0
A_all_versions	base/Qwen3-8B	full_moment_pr	gain_commonsense	9	9	-0.5005208126086438	-0.7087374706538397	-0.30426660198479494	0	0	9
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	gain_commonsense	9	9	0.20421249154432675	-0.282343790392536	0.6546812228921062	5	0	4
A_all_versions	task/magicoder	full_moment_pr	gain_commonsense	6	6	-0.2552656144304084	-0.78982184229644	0.33935311094866055	2	0	4
A_all_versions	task/metamath	full_moment_pr	gain_commonsense	6	6	0.36037498507822363	-0.06006249751303729	0.7537843437886177	3	0	3
A_all_versions	task/tulu	full_moment_pr	gain_commonsense	6	6	-0.5495718522442911	-0.7838155925451363	-0.32133436169474944	0	0	6
A_all_versions	base/Qwen3-8B	full_moment_pr	gain_arc_challenge	9	9	-0.15450253679056117	-0.5668837818499929	0.2326621188799264	5	0	4
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	gain_arc_challenge	9	9	0.13288036408914725	-0.32150420475688524	0.5589617210363629	5	0	4
A_all_versions	task/magicoder	full_moment_pr	gain_arc_challenge	6	6	-0.3176382550887949	-0.7851066161043688	0.18619374229041555	2	0	4
A_all_versions	task/metamath	full_moment_pr	gain_arc_challenge	6	6	0.4410834332131644	0.12842779931384235	0.756576868572374	5	0	1
A_all_versions	task/tulu	full_moment_pr	gain_arc_challenge	6	6	-0.15587843717649041	-0.6573743950711094	0.3755524854960497	3	0	3
A_all_versions	base/Qwen3-8B	full_moment_pr	gain_arc_easy	9	9	-0.4751025096778904	-0.6772376227016852	-0.29039954936105433	0	0	9
A_all_versions	base/Llama-3.1-8B-Instruct	full_moment_pr	gain_arc_easy	9	9	0.12105613784221708	-0.349508461793085	0.55116161991829	5	0	4
A_all_versions	task/magicoder	full_moment_pr	gain_arc_easy	6	6	-0.4582441909188019	-0.7724283130261099	-0.09147144140092327	1	0	5
