cohort	checkpoint	feature	outcome	spearman	n_arms
A_all_versions	Qwen3-8B/tulu/seed42	full_moment_pr	gain_magicoder	-0.23636363636363636	7
A_all_versions	Qwen3-8B/tulu/seed43	full_moment_pr	gain_magicoder	-0.755254912049361	7
A_all_versions	Qwen3-8B/tulu/seed44	full_moment_pr	gain_magicoder	-0.5636363636363636	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	log_energy_ratio	gain_metamath	-0.555936987495826	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	log_energy_ratio	gain_metamath	0.14824986333222026	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	log_energy_ratio	gain_metamath	0.14824986333222026	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	log_energy_ratio	gain_metamath	-0.8524367141602663	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	log_energy_ratio	gain_metamath	-0.9636241116594316	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	log_energy_ratio	gain_metamath	-0.9636241116594316	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	log_energy_ratio	gain_metamath	0.18531232916527532	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	log_energy_ratio	gain_metamath	-0.8524367141602663	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	log_energy_ratio	gain_metamath	0.1682904582015223	7
A_all_versions	Qwen3-8B/magicoder/seed42	log_energy_ratio	gain_metamath	0.18531232916527532	7
A_all_versions	Qwen3-8B/magicoder/seed43	log_energy_ratio	gain_metamath	0.14959151840135315	7
A_all_versions	Qwen3-8B/magicoder/seed44	log_energy_ratio	gain_metamath	0.18531232916527532	7
A_all_versions	Qwen3-8B/metamath/seed42	log_energy_ratio	gain_metamath	-0.261785157202368	7
A_all_versions	Qwen3-8B/metamath/seed43	log_energy_ratio	gain_metamath	-0.4300756154038903	7
A_all_versions	Qwen3-8B/metamath/seed44	log_energy_ratio	gain_metamath	-0.8040544114072732	7
A_all_versions	Qwen3-8B/tulu/seed42	log_energy_ratio	gain_metamath	-0.018698939800169144	7
A_all_versions	Qwen3-8B/tulu/seed43	log_energy_ratio	gain_metamath	0.592999453328881	7
A_all_versions	Qwen3-8B/tulu/seed44	log_energy_ratio	gain_metamath	-0.4674734950042286	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	raw_fpr	gain_metamath	0.3783937343321348	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	raw_fpr	gain_metamath	-0.2882999880625789	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	raw_fpr	gain_metamath	-0.2882999880625789	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	raw_fpr	gain_metamath	0.8468812149338255	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	raw_fpr	gain_metamath	0.8108437164260032	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	raw_fpr	gain_metamath	0.9549937104572925	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	raw_fpr	gain_metamath	-0.3243374865704013	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	raw_fpr	gain_metamath	0.9549937104572925	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	raw_fpr	gain_metamath	-0.2545454545454545	7
A_all_versions	Qwen3-8B/magicoder/seed42	raw_fpr	gain_metamath	-0.36037498507822363	7
A_all_versions	Qwen3-8B/magicoder/seed43	raw_fpr	gain_metamath	-0.24545454545454545	7
A_all_versions	Qwen3-8B/magicoder/seed44	raw_fpr	gain_metamath	-0.18018749253911182	7
A_all_versions	Qwen3-8B/metamath/seed42	raw_fpr	gain_metamath	0.34545454545454546	7
A_all_versions	Qwen3-8B/metamath/seed43	raw_fpr	gain_metamath	0.509090909090909	7
A_all_versions	Qwen3-8B/metamath/seed44	raw_fpr	gain_metamath	0.8	7
A_all_versions	Qwen3-8B/tulu/seed42	raw_fpr	gain_metamath	0.11818181818181818	7
A_all_versions	Qwen3-8B/tulu/seed43	raw_fpr	gain_metamath	-0.41443123283995714	7
A_all_versions	Qwen3-8B/tulu/seed44	raw_fpr	gain_metamath	0.16363636363636364	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	full_moment_pr	gain_metamath	0.3783937343321348	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	full_moment_pr	gain_metamath	-0.2882999880625789	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	full_moment_pr	gain_metamath	-0.2882999880625789	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	full_moment_pr	gain_metamath	0.8468812149338255	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	full_moment_pr	gain_metamath	0.8468812149338255	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	full_moment_pr	gain_metamath	0.9910312089651149	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	full_moment_pr	gain_metamath	-0.3243374865704013	7
